ID,county,township,name,address,vaccineCnt
1,臺北市,大同區,衛生福利部臺北醫院城區分院,臺北市大同區鄭州路４０號,"{""BNT"": 500, ""AZ"": 500}"
2,臺北市,大同區,臺北市立聯合醫院,臺北市大同區鄭州路１４５號（代表）,"{""BNT"": 500, ""AZ"": 500}"
3,基隆市,信義區,衛生福利部基隆醫院,基隆市信義區信二路２６８號,"{""BNT"": 500, ""AZ"": 500}"
4,新北市,三重區,新北市立聯合醫院,新北市三重區新北大道１段３號、板橋區英士路１９８號,"{""BNT"": 500, ""AZ"": 500}"
5,新北市,新莊區,衛生福利部樂生療養院,新北市新莊區中正路７９４號、桃園市龜山區萬壽路１段５０巷２號,"{""BNT"": 500, ""AZ"": 500}"
6,新北市,新莊區,衛生福利部臺北醫院,新北市新莊區思源路１２７號,"{""BNT"": 500, ""AZ"": 500}"
7,新北市,八里區,衛生福利部八里療養院,新北市八里區華富山３３號,"{""BNT"": 500, ""AZ"": 500}"
8,金門縣,金湖鎮,衛生福利部金門醫院,金門縣金湖鎮復興路２號,"{""BNT"": 500, ""AZ"": 500}"
9,基隆市,信義區,基隆市立醫院,基隆市信義區東信路２８２號,"{""BNT"": 500, ""AZ"": 500}"
10,連江縣,南竿鄉,連江縣立醫院,連江縣南竿鄉復興村２１７號,"{""BNT"": 500, ""AZ"": 500}"
11,臺北市,中正區,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路７、８號；常德街１號,"{""BNT"": 500, ""AZ"": 500}"
12,臺北市,中正區,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路８號,"{""BNT"": 500, ""AZ"": 500}"
13,臺北市,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號,"{""BNT"": 500, ""AZ"": 500}"
14,新北市,金山區,國立臺灣大學醫學院附設醫院金山分院,新北市金山區五湖里南勢５１號,"{""BNT"": 500, ""AZ"": 500}"
15,宜蘭縣,宜蘭市,國立陽明大學附設醫院,宜蘭縣宜蘭市新民路１５２號,"{""BNT"": 500, ""AZ"": 500}"
16,臺北市,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,"{""BNT"": 500, ""AZ"": 500}"
17,臺北市,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路２段３２５號,"{""BNT"": 500, ""AZ"": 500}"
18,臺北市,北投區,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路６０號　中和街２５０號,"{""BNT"": 500, ""AZ"": 500}"
19,基隆市,中正區,三軍總醫院附設基隆民眾診療服務處,基隆市中正區正榮街１００號，仁愛區孝二路３９號,"{""BNT"": 500, ""AZ"": 500}"
20,臺北市,北投區,臺北榮民總醫院,臺北市北投區石牌路２段２０１號,"{""BNT"": 500, ""AZ"": 500}"
21,宜蘭縣,蘇澳鎮,臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路１段３０１號,"{""BNT"": 500, ""AZ"": 500}"
22,宜蘭縣,員山鄉,臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路３８６號,"{""BNT"": 500, ""AZ"": 500}"
23,臺北市,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路２２５巷１２號,"{""BNT"": 500, ""AZ"": 500}"
24,臺北市,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路４段１１２巷１１號,"{""BNT"": 500, ""AZ"": 500}"
25,臺北市,中山區,福全醫院,臺北市中山區民權東路２段４８號,"{""BNT"": 500, ""AZ"": 500}"
26,新北市,板橋區,中英醫療社團法人中英醫院,新北市板橋區文化路１段１９６號１－４樓,"{""BNT"": 500, ""AZ"": 500}"
27,新北市,板橋區,中英醫療社團法人板英醫院,新北市板橋區文化路１段２６７、２６９、２７１號１－４樓,"{""BNT"": 500, ""AZ"": 500}"
28,新北市,新莊區,新仁醫療社團法人新仁醫院,新北市新莊區中正路３９５號１－５樓,"{""BNT"": 500, ""AZ"": 500}"
29,新北市,三峽區,永聖醫療社團法人文化醫院,新北市三峽區介壽路１段１９９號,"{""BNT"": 500, ""AZ"": 500}"
30,宜蘭縣,壯圍鄉,海天醫療社團法人海天醫院,宜蘭縣壯圍鄉古亭路２３－９號,"{""BNT"": 500, ""AZ"": 500}"
31,臺北市,松山區,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路２段４２４、４２６號,"{""BNT"": 500, ""AZ"": 500}"
32,臺北市,大安區,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路４段２８０號，２６６巷６號,"{""BNT"": 500, ""AZ"": 500}"
33,臺北市,大安區,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路４段７７號,"{""BNT"": 500, ""AZ"": 500}"
34,臺北市,大安區,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路４段７１巷１號,"{""BNT"": 500, ""AZ"": 500}"
35,臺北市,中山區,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市中山區中山北路２段９２號,"{""BNT"": 500, ""AZ"": 500}"
36,臺北市,中山區,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕兒童醫院,臺北市中山區中山北路２段９２號,"{""BNT"": 500, ""AZ"": 500}"
37,臺北市,內湖區,康寧醫療財團法人康寧醫院,臺北市內湖區成功路５段４２０巷２６號,"{""BNT"": 500, ""AZ"": 500}"
38,臺北市,士林區,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路９５號及士商路５１號１至７樓５３、５５號,"{""BNT"": 500, ""AZ"": 500}"
39,臺北市,北投區,振興醫療財團法人振興醫院,臺北市北投區振興街４５號,"{""BNT"": 500, ""AZ"": 500}"
40,臺北市,北投區,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路１２５號,"{""BNT"": 500, ""AZ"": 500}"
41,基隆市,安樂區,長庚醫療財團法人基隆長庚紀念醫院,基隆市安樂區麥金路２２２號基金一路２０８巷２００號,"{""BNT"": 500, ""AZ"": 500}"
42,新北市,板橋區,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路２段２１號及高爾富路３００號１、２樓,"{""BNT"": 500, ""AZ"": 500}"
43,新北市,新店區,佛教慈濟醫療財團法人台北慈濟醫院,新北市新店區建國路２８９號,"{""BNT"": 500, ""AZ"": 500}"
44,新北市,三峽區,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路３９９號、中山路１９８號,"{""BNT"": 500, ""AZ"": 500}"
45,新北市,淡水區,財團法人基督長老教會馬偕紀念醫院淡水分院,新北市淡水區民生路４５號,"{""BNT"": 500, ""AZ"": 500}"
46,新北市,汐止區,國泰醫療財團法人汐止國泰綜合醫院,新北市汐止區建成路５９巷２號地下４樓至地上１２樓,"{""BNT"": 500, ""AZ"": 500}"
47,宜蘭縣,宜蘭市,財團法人蘭陽仁愛醫院,宜蘭縣宜蘭市中山路２段２６０號,"{""BNT"": 500, ""AZ"": 500}"
48,宜蘭縣,員山鄉,宜蘭普門醫療財團法人普門醫院,宜蘭縣員山鄉深溝村尚深路９１號,"{""BNT"": 500, ""AZ"": 500}"
49,新北市,永和區,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區中興街８０號、新北市永和區中興街５２巷１弄２８號,"{""BNT"": 500, ""AZ"": 500}"
50,新北市,新店區,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路３６２號,"{""BNT"": 500, ""AZ"": 500}"
51,宜蘭縣,羅東鎮,財團法人天主教靈醫會羅東聖母醫院,宜蘭縣羅東鎮中正南路１６０號,"{""BNT"": 500, ""AZ"": 500}"
52,臺北市,內湖區,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路２段３６０號,"{""BNT"": 500, ""AZ"": 500}"
53,臺北市,信義區,臺北醫學大學附設醫院,臺北市信義區吳興街２５２號,"{""BNT"": 500, ""AZ"": 500}"
54,臺北市,文山區,臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路３段１１１號,"{""BNT"": 500, ""AZ"": 500}"
