ID,county,township,name,address,vaccineCnt
1,臺北市,大同區,衛生福利部臺北醫院城區分院,臺北市大同區鄭州路４０號,
2,臺北市,大同區,臺北市立聯合醫院,臺北市大同區鄭州路１４５號（代表）,
3,基隆市,信義區,衛生福利部基隆醫院,基隆市信義區信二路２６８號,
4,新北市,三重區,新北市立聯合醫院,新北市三重區新北大道１段３號、板橋區英士路１９８號,
5,新北市,新莊區,衛生福利部樂生療養院,新北市新莊區中正路７９４號、桃園市龜山區萬壽路１段５０巷２號,
6,新北市,新莊區,衛生福利部臺北醫院,新北市新莊區思源路１２７號,
7,新北市,八里區,衛生福利部八里療養院,新北市八里區華富山３３號,
8,金門縣,金湖鎮,衛生福利部金門醫院,金門縣金湖鎮復興路２號,
9,基隆市,信義區,基隆市立醫院,基隆市信義區東信路２８２號,
10,連江縣,南竿鄉,連江縣立醫院,連江縣南竿鄉復興村２１７號,
11,臺北市,中正區,國立臺灣大學醫學院附設醫院,臺北市中正區中山南路７、８號；常德街１號,
12,臺北市,中正區,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路８號,
13,臺北市,萬華區,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路３７號、臺北市萬華區內江街８７號,
14,新北市,金山區,國立臺灣大學醫學院附設醫院金山分院,新北市金山區五湖里南勢５１號,
15,宜蘭縣,宜蘭市,國立陽明大學附設醫院,宜蘭縣宜蘭市新民路１５２號,
16,臺北市,松山區,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,
17,臺北市,內湖區,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路２段３２５號,
18,臺北市,北投區,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路６０號　中和街２５０號,
19,基隆市,中正區,三軍總醫院附設基隆民眾診療服務處,基隆市中正區正榮街１００號，仁愛區孝二路３９號,
20,臺北市,北投區,臺北榮民總醫院,臺北市北投區石牌路２段２０１號,
21,宜蘭縣,蘇澳鎮,臺北榮民總醫院蘇澳分院,宜蘭縣蘇澳鎮蘇濱路１段３０１號,
22,宜蘭縣,員山鄉,臺北榮民總醫院員山分院,宜蘭縣員山鄉榮光路３８６號,
23,臺北市,北投區,臺北市立關渡醫院-委託臺北榮民總醫院經營,臺北市北投區知行路２２５巷１２號,
24,臺北市,大安區,中山醫療社團法人中山醫院,臺北市大安區仁愛路４段１１２巷１１號,
25,臺北市,中山區,福全醫院,臺北市中山區民權東路２段４８號,
26,新北市,板橋區,中英醫療社團法人中英醫院,新北市板橋區文化路１段１９６號１－４樓,
27,新北市,板橋區,中英醫療社團法人板英醫院,新北市板橋區文化路１段２６７、２６９、２７１號１－４樓,
28,新北市,新莊區,新仁醫療社團法人新仁醫院,新北市新莊區中正路３９５號１－５樓,
29,新北市,三峽區,永聖醫療社團法人文化醫院,新北市三峽區介壽路１段１９９號,
30,宜蘭縣,壯圍鄉,海天醫療社團法人海天醫院,宜蘭縣壯圍鄉古亭路２３－９號,
